source_user,tweet_count,mean_sen,std_sen,unique_dates,mean_omega
muneeb,2327,0.21488611946712508,0.29264819927513014,292,0.5532861133280128
Stacks,2296,0.2915200348432056,0.283875908848521,406,0.5361977351916376
naval,1865,0.08010723860589812,0.36491046182053005,370,0.5475844504021448
orangepillpod,1855,0.16190835579514823,0.32196910042606913,384,0.5325177127454755
Blockstream,1791,0.2413679508654383,0.2921319711344021,388,0.5409286511924702
solana,1787,0.2675265808617795,0.2981672906199434,391,0.5363893996322647
BarrySilbert,1750,0.23274285714285714,0.35252956218728665,373,0.5327775510204081
krakenfx,1700,0.2632529411764706,0.29834003301660617,378,0.5268283613445378
pete_rizzo_,1610,0.13999378881987576,0.34227795008394235,402,0.561787488908607
AndreCronjeTech,1506,0.15305444887118194,0.3080960172370575,209,0.5460363308670082
bitfinex,1473,0.32948404616429056,0.2630961241966766,433,0.5382945398118514
saylor,1405,0.16310320284697508,0.3653563124787664,439,0.5428401118454499
Bitcoin,1389,0.08035277177825774,0.3316500177175301,416,0.5387537282731667
real_vijay,1312,0.13608993902439026,0.313398050736337,311,0.5453312826655052
coinmetrics,1306,0.1857656967840735,0.28598191983042787,218,0.548981349814045
brian_armstrong,1285,0.2346147859922179,0.32634807202038474,369,0.5561764869371874
BY_DeFi,1239,0.15587570621468927,0.33852266809837633,283,0.5478335062838694
SatoshiLite,1174,0.21160988074957413,0.30745505056923583,360,0.5519843635921149
Grayscale,1154,0.27023396880415945,0.2821501461425751,338,0.5373870388710077
coinbase,1145,0.2689606986899563,0.3056825779939411,330,0.5439681846537742
JamieCrawleyCD,1003,0.11124626121635095,0.33253448513780887,313,0.5319840478564307
Tanzeel_Akhtar,999,0.09564564564564565,0.3418064098318855,270,0.5299510224510224
defipulse,923,0.16037919826652222,0.31128306178777615,256,0.5298537378114843
novogratz,788,0.18184010152284263,0.3659830920973443,283,0.548241932559826
CoinDeskMarkets,777,0.09081081081081081,0.2970021807106697,327,0.5190370472513329
WeekInEthNews,775,0.043329032258064525,0.2763424155210113,339,0.5073400921658986
Liquid_BTC,735,0.34435374149659864,0.2847109247355554,283,0.5591083576287658
coindanslecoin,637,0.16748822605965463,0.344743960139957,283,0.5310176048441355
ethereum,561,0.25333333333333335,0.28498642407097563,372,0.5374471606824548
todayindefi,489,0.14813905930470347,0.31203656306346145,288,0.514837131171487
ShapeShift_io,480,0.20754166666666668,0.2839958656476196,135,0.535641369047619
iamjosephyoung,472,0.10949152542372881,0.35017580651642743,208,0.5550923123486683
CointelegraphZN,460,0.20628260869565218,0.28944520314354744,296,0.551705745341615
aantonop,357,0.16683473389355744,0.33306342501436964,243,0.5495048019207683
OurNetwork__,324,0.19225308641975308,0.3150588683844974,180,0.5303097442680776
ethereumJoseph,210,0.30542857142857144,0.2779781016862447,92,0.5416394557823129
ournetwork__,82,0.1620731707317073,0.2988155126986023,43,0.5228092334494774
