asset,dropped_channel,tweets_dropped,pct_dropped,lrr_F,lrr_p,lrr_sig,pr_F,pr_p,pr_sig,hits_F,hits_p,hits_sig
LTC,brian_armstrong,1285,0.37,17.862,0.0,*,12.88,0.0,*,1.143,0.3192,
LTC,coinbase,1145,0.33,10.49,0.0,*,6.357,0.0,*,4.762,0.0026,*
LTC,coindanslecoin,637,0.18,12.539,0.0,*,8.33,0.0,*,6.32,0.0003,*
LTC,coingecko,5085,1.45,10.743,0.0,*,8.187,0.0,*,5.911,0.0005,*
LTC,coinmetrics,1306,0.37,12.349,0.0,*,4.986,0.0,*,6.208,0.0003,*
LTC,cryptocom,3334,0.95,12.109,0.0,*,5.233,0.0,*,6.328,0.0003,*
LTC,cz_binance,6897,1.97,12.438,0.0,*,5.123,0.0,*,6.088,0.0004,*
LTC,danheld,8192,2.34,12.673,0.0,*,4.493,0.0001,*,6.113,0.0004,*
LTC,defipulse,923,0.26,12.247,0.0,*,5.045,0.0,*,6.336,0.0003,*
LTC,elonmusk,7783,2.22,11.774,0.0,*,7.862,0.0,*,5.609,0.0008,*
LTC,ethereum,561,0.16,6.553,0.0015,*,8.765,0.0,*,6.337,0.0003,*
LTC,ethereumJoseph,210,0.06,16.09,0.0,*,13.979,0.0,*,5.214,0.0014,*
